B01001001,01,2011,4747424
B01001002,01,2011,2302958
B01001003,01,2011,155165
B01001004,01,2011,157296
B01001005,01,2011,163090
B01001006,01,2011,103486
B01001007,01,2011,72073
B01001008,01,2011,37578
B01001009,01,2011,35148
B01001010,01,2011,94486
B01001011,01,2011,152253
B01001012,01,2011,143802
B01001013,01,2011,149857
B01001014,01,2011,156443
B01001015,01,2011,168701
B01001016,01,2011,166078
B01001017,01,2011,146068
B01001018,01,2011,57720
B01001019,01,2011,70814
B01001020,01,2011,41688
B01001021,01,2011,54132
B01001022,01,2011,70060
B01001023,01,2011,50031
B01001024,01,2011,34113
B01001025,01,2011,22876
B01001026,01,2011,2444466
B01001027,01,2011,148496
B01001028,01,2011,152402
B01001029,01,2011,155435
B01001030,01,2011,96835
B01001031,01,2011,69906
B01001032,01,2011,35151
B01001033,01,2011,35717
B01001034,01,2011,97082
B01001035,01,2011,156714
B01001036,01,2011,149743
B01001037,01,2011,157424
B01001038,01,2011,161460
B01001039,01,2011,177065
B01001040,01,2011,176977
B01001041,01,2011,158964
B01001042,01,2011,61441
B01001043,01,2011,79220
B01001044,01,2011,46839
B01001045,01,2011,62435
B01001046,01,2011,86976
B01001047,01,2011,71085
B01001048,01,2011,54793
B01001049,01,2011,52306
B03002003,01,2011,3195148
B03002004,01,2011,1238196
B03002005,01,2011,24031
B03002006,01,2011,52207
B03002007,01,2011,1181
B03002008,01,2011,3446
B03002009,01,2011,59225
B03002010,01,2011,1479
B03002011,01,2011,57746
B03002012,01,2011,173990
B06009001,01,2011,3138078
B06009002,01,2011,567670
B06009003,01,2011,986404
B06009004,01,2011,894565
B06009005,01,2011,438211
B06009006,01,2011,251228
B06011001,01,2011,22217
B06012001,01,2011,4631432
B06012002,01,2011,813385
B23025003,01,2011,2243462
B23025004,01,2011,2027919
B23025005,01,2011,215543
B25001001,01,2011,2161247
B25003002,01,2011,1294557
B25003003,01,2011,536712
B25002002,01,2011,1831269
B25002003,01,2011,329978
B01001001,01001,2011,53944
B01001002,01001,2011,26174
B01001003,01001,2011,1816
B01001004,01001,2011,2060
B01001005,01001,2011,2117
B01001006,01001,2011,1427
B01001007,01001,2011,802
B01001008,01001,2011,376
B01001009,01001,2011,226
B01001010,01001,2011,939
B01001011,01001,2011,1514
B01001012,01001,2011,1590
B01001013,01001,2011,1922
B01001014,01001,2011,2048
B01001015,01001,2011,2138
B01001016,01001,2011,1758
B01001017,01001,2011,1497
B01001018,01001,2011,605
B01001019,01001,2011,671
B01001020,01001,2011,455
B01001021,01001,2011,510
B01001022,01001,2011,791
B01001023,01001,2011,374
B01001024,01001,2011,385
B01001025,01001,2011,153
B01001026,01001,2011,27770
B01001027,01001,2011,1752
B01001028,01001,2011,2035
B01001029,01001,2011,2092
B01001030,01001,2011,1409
B01001031,01001,2011,846
B01001032,01001,2011,239
B01001033,01001,2011,202
B01001034,01001,2011,1025
B01001035,01001,2011,1610
B01001036,01001,2011,1752
B01001037,01001,2011,2023
B01001038,01001,2011,2231
B01001039,01001,2011,2095
B01001040,01001,2011,1926
B01001041,01001,2011,1444
B01001042,01001,2011,632
B01001043,01001,2011,838
B01001044,01001,2011,501
B01001045,01001,2011,773
B01001046,01001,2011,873
B01001047,01001,2011,649
B01001048,01001,2011,402
B01001049,01001,2011,421
B01001001,01003,2011,179523
B01001002,01003,2011,87553
B01001003,01003,2011,5526
B01001004,01003,2011,5838
B01001005,01003,2011,5946
B01001006,01003,2011,3664
B01001007,01003,2011,2207
B01001008,01003,2011,1051
B01001009,01003,2011,559
B01001010,01003,2011,3235
B01001011,01003,2011,5047
B01001012,01003,2011,5098
B01001013,01003,2011,5177
B01001014,01003,2011,6325
B01001015,01003,2011,6472
B01001016,01003,2011,6270
B01001017,01003,2011,5463
B01001018,01003,2011,2629
B01001019,01003,2011,3145
B01001020,01003,2011,2071
B01001021,01003,2011,2646
B01001022,01003,2011,3635
B01001023,01003,2011,2577
B01001024,01003,2011,1736
B01001025,01003,2011,1236
B01001026,01003,2011,91970
B01001027,01003,2011,5583
B01001028,01003,2011,5532
B01001029,01003,2011,6043
B01001030,01003,2011,3462
B01001031,01003,2011,2010
B01001032,01003,2011,843
B01001033,01003,2011,910
B01001034,01003,2011,2664
B01001035,01003,2011,5236
B01001036,01003,2011,5213
B01001037,01003,2011,5292
B01001038,01003,2011,6750
B01001039,01003,2011,6820
B01001040,01003,2011,6921
B01001041,01003,2011,6363
B01001042,01003,2011,2590
B01001043,01003,2011,3629
B01001044,01003,2011,1809
B01001045,01003,2011,2931
B01001046,01003,2011,4206
B01001047,01003,2011,3065
B01001048,01003,2011,2182
B01001049,01003,2011,1916
B01001001,01005,2011,27546
B01001002,01005,2011,14649
B01001003,01005,2011,892
B01001004,01005,2011,875
B01001005,01005,2011,847
B01001006,01005,2011,574
B01001007,01005,2011,333
B01001008,01005,2011,121
B01001009,01005,2011,198
B01001010,01005,2011,799
B01001011,01005,2011,1177
B01001012,01005,2011,1175
B01001013,01005,2011,1237
B01001014,01005,2011,921
B01001015,01005,2011,1116
B01001016,01005,2011,995
B01001017,01005,2011,819
B01001018,01005,2011,455
B01001019,01005,2011,439
B01001020,01005,2011,203
B01001021,01005,2011,447
B01001022,01005,2011,378
B01001023,01005,2011,357
B01001024,01005,2011,211
B01001025,01005,2011,80
B01001026,01005,2011,12897
B01001027,01005,2011,777
B01001028,01005,2011,962
