Accent,3,,1,127,201,127,Qualitative
Accent,3,,2,190,174,212,Qualitative
Accent,3,,3,253,192,134,Qualitative
Accent,4,,1,127,201,127,Qualitative
Accent,4,,2,190,174,212,Qualitative
Accent,4,,3,253,192,134,Qualitative
Accent,4,,4,255,255,153,Qualitative
Accent,5,,1,127,201,127,Qualitative
Accent,5,,2,190,174,212,Qualitative
Accent,5,,3,253,192,134,Qualitative
Accent,5,,4,255,255,153,Qualitative
Accent,5,,5,56,108,176,Qualitative
Accent,6,,1,127,201,127,Qualitative
Accent,6,,2,190,174,212,Qualitative
Accent,6,,3,253,192,134,Qualitative
Accent,6,,4,255,255,153,Qualitative
Accent,6,,5,56,108,176,Qualitative
Accent,6,,6,240,2,127,Qualitative
Accent,7,,1,127,201,127,Qualitative
Accent,7,,2,190,174,212,Qualitative
Accent,7,,3,253,192,134,Qualitative
Accent,7,,4,255,255,153,Qualitative
Accent,7,,5,56,108,176,Qualitative
Accent,7,,6,240,2,127,Qualitative
Accent,7,,7,191,91,23,Qualitative
Accent,8,,1,127,201,127,Qualitative
Accent,8,,2,190,174,212,Qualitative
Accent,8,,3,253,192,134,Qualitative
Accent,8,,4,255,255,153,Qualitative
Accent,8,,5,56,108,176,Qualitative
Accent,8,,6,240,2,127,Qualitative
Accent,8,,7,191,91,23,Qualitative
Accent,8,,8,102,102,102,Qualitative
Blues,3,,1,222,235,247,Sequential
Blues,3,,2,158,202,225,Sequential
Blues,3,,3,49,130,189,Sequential
Blues,4,,1,239,243,255,Sequential
Blues,4,,2,189,215,231,Sequential
Blues,4,,3,107,174,214,Sequential
Blues,4,,4,33,113,181,Sequential
Blues,5,,1,239,243,255,Sequential
Blues,5,,2,189,215,231,Sequential
Blues,5,,3,107,174,214,Sequential
Blues,5,,4,49,130,189,Sequential
Blues,5,,5,8,81,156,Sequential
Blues,6,,1,239,243,255,Sequential
Blues,6,,2,198,219,239,Sequential
Blues,6,,3,158,202,225,Sequential
Blues,6,,4,107,174,214,Sequential
Blues,6,,5,49,130,189,Sequential
Blues,6,,6,8,81,156,Sequential
Blues,7,,1,239,243,255,Sequential
Blues,7,,2,198,219,239,Sequential
Blues,7,,3,158,202,225,Sequential
Blues,7,,4,107,174,214,Sequential
Blues,7,,5,66,146,198,Sequential
Blues,7,,6,33,113,181,Sequential
Blues,7,,7,8,69,148,Sequential
Blues,8,,1,247,251,255,Sequential
Blues,8,,2,222,235,247,Sequential
Blues,8,,3,198,219,239,Sequential
Blues,8,,4,158,202,225,Sequential
Blues,8,,5,107,174,214,Sequential
Blues,8,,6,66,146,198,Sequential
Blues,8,,7,33,113,181,Sequential
Blues,8,,8,8,69,148,Sequential
Blues,9,,1,247,251,255,Sequential
Blues,9,,2,222,235,247,Sequential
Blues,9,,3,198,219,239,Sequential
Blues,9,,4,158,202,225,Sequential
Blues,9,,5,107,174,214,Sequential
Blues,9,,6,66,146,198,Sequential
Blues,9,,7,33,113,181,Sequential
Blues,9,,8,8,81,156,Sequential
Blues,9,,9,8,48,107,Sequential
BrBG,3,2,1,216,179,101,Diverging
BrBG,3,2,2,245,245,245,Diverging
BrBG,3,2,3,90,180,172,Diverging
BrBG,4,2.5,1,166,97,26,Diverging
BrBG,4,2.5,2,223,194,125,Diverging
BrBG,4,2.5,3,128,205,193,Diverging
BrBG,4,2.5,4,1,133,113,Diverging
BrBG,5,3,1,166,97,26,Diverging
BrBG,5,3,2,223,194,125,Diverging
BrBG,5,3,3,245,245,245,Diverging
BrBG,5,3,4,128,205,193,Diverging
BrBG,5,3,5,1,133,113,Diverging
BrBG,6,3.5,1,140,81,10,Diverging
BrBG,6,3.5,2,216,179,101,Diverging
BrBG,6,3.5,3,246,232,195,Diverging
BrBG,6,3.5,4,199,234,229,Diverging
BrBG,6,3.5,5,90,180,172,Diverging
BrBG,6,3.5,6,1,102,94,Diverging
BrBG,7,4,1,140,81,10,Diverging
BrBG,7,4,2,216,179,101,Diverging
BrBG,7,4,3,246,232,195,Diverging
BrBG,7,4,4,245,245,245,Diverging
BrBG,7,4,5,199,234,229,Diverging
BrBG,7,4,6,90,180,172,Diverging
BrBG,7,4,7,1,102,94,Diverging
BrBG,8,4.5,1,140,81,10,Diverging
BrBG,8,4.5,2,191,129,45,Diverging
BrBG,8,4.5,3,223,194,125,Diverging
BrBG,8,4.5,4,246,232,195,Diverging
BrBG,8,4.5,5,199,234,229,Diverging
BrBG,8,4.5,6,128,205,193,Diverging
BrBG,8,4.5,7,53,151,143,Diverging
BrBG,8,4.5,8,1,102,94,Diverging
BrBG,9,5,1,140,81,10,Diverging
BrBG,9,5,2,191,129,45,Diverging
BrBG,9,5,3,223,194,125,Diverging
BrBG,9,5,4,246,232,195,Diverging
BrBG,9,5,5,245,245,245,Diverging
BrBG,9,5,6,199,234,229,Diverging
BrBG,9,5,7,128,205,193,Diverging
BrBG,9,5,8,53,151,143,Diverging
BrBG,9,5,9,1,102,94,Diverging
BrBG,10,5.5,1,84,48,5,Diverging
BrBG,10,5.5,2,140,81,10,Diverging
BrBG,10,5.5,3,191,129,45,Diverging
BrBG,10,5.5,4,223,194,125,Diverging
BrBG,10,5.5,5,246,232,195,Diverging
BrBG,10,5.5,6,199,234,229,Diverging
BrBG,10,5.5,7,128,205,193,Diverging
BrBG,10,5.5,8,53,151,143,Diverging
BrBG,10,5.5,9,1,102,94,Diverging
BrBG,10,5.5,10,0,60,48,Diverging
BrBG,11,6,1,84,48,5,Diverging
BrBG,11,6,2,140,81,10,Diverging
BrBG,11,6,3,191,129,45,Diverging
BrBG,11,6,4,223,194,125,Diverging
BrBG,11,6,5,246,232,195,Diverging
BrBG,11,6,6,245,245,245,Diverging
